skill,backward_text,original_name
blight,">Gira is going to bonus action smash the flaming sphere into 5,3 (going over the heads of Rok and Cade) then he'll move to 10, 2 and blight the brown plant. ",blight
con save,">Gira is going to bonus action smash the flaming sphere into 5,3 (going over the heads of Rok and Cade) then he'll move to 10, 2 and blight the brown plant. ",con save
disadvantage for being a plant,">Gira is going to bonus action smash the flaming sphere into 5,3 (going over the heads of Rok and Cade) then he'll move to 10, 2 and blight the brown plant. ",disadvantage for being a plant
Shortbow,"> screams ""NO! Not Rok! Plant! I'll kill you! Gira! Why are you burning him while he's dying!?!?"" is not as heroic as his shouting might be trying to suggest, and he shoots the Corpse Flower from afar hoping it eats Rok before it gets around to killing poor so he has time to escape if needed.. ",Shortbow
Damage,"> screams ""NO! Not Rok! Plant! I'll kill you! Gira! Why are you burning him while he's dying!?!?"" is not as heroic as his shouting might be trying to suggest, and he shoots the Corpse Flower from afar hoping it eats Rok before it gets around to killing poor so he has time to escape if needed.. ",Damage
Shortbow,"> screams ""NO! Not Rok! Plant! I'll kill you! Gira! Why are you burning him while he's dying!?!?"" is not as heroic as his shouting might be trying to suggest, and he shoots the Corpse Flower from afar hoping it eats Rok before it gets around to killing poor so he has time to escape if needed.. ",Shortbow
Damage,"> screams ""NO! Not Rok! Plant! I'll kill you! Gira! Why are you burning him while he's dying!?!?"" is not as heroic as his shouting might be trying to suggest, and he shoots the Corpse Flower from afar hoping it eats Rok before it gets around to killing poor so he has time to escape if needed.. ",Damage
Snakeys,"> screams ""NO! Not Rok! Plant! I'll kill you! Gira! Why are you burning him while he's dying!?!?"" is not as heroic as his shouting might be trying to suggest, and he shoots the Corpse Flower from afar hoping it eats Rok before it gets around to killing poor so he has time to escape if needed.. ",Snakeys
Roll,">SaveSo since I got a 20 does that mean that I got 1 go and I'm up.. if that saves at the beginning of my turn then I can move, take a bonus action, and a reaction? If thats the case then ill bonus action disengage and move back 30ft ",Roll
Rok Con,">Yup Rok gains an HP and regains consiousness. Just has to pass this stink save and he's maybe good to go, just prone. ",Rok Con
Atk 1,">Abi has been waiting to try out the staff so now she is going to give it a go with scorching ray.  She'll move into sight line at (11,3) and fire all three at the plant, ""Pew, Pew, Pew. (laughs like Hank Scorpio)"" ",Atk 1
Dmg,">Abi has been waiting to try out the staff so now she is going to give it a go with scorching ray.  She'll move into sight line at (11,3) and fire all three at the plant, ""Pew, Pew, Pew. (laughs like Hank Scorpio)"" ",Dmg
Atk 2,">Abi has been waiting to try out the staff so now she is going to give it a go with scorching ray.  She'll move into sight line at (11,3) and fire all three at the plant, ""Pew, Pew, Pew. (laughs like Hank Scorpio)"" ",Atk 2
Dmg,">Abi has been waiting to try out the staff so now she is going to give it a go with scorching ray.  She'll move into sight line at (11,3) and fire all three at the plant, ""Pew, Pew, Pew. (laughs like Hank Scorpio)"" ",Dmg
Atk 3,">Abi has been waiting to try out the staff so now she is going to give it a go with scorching ray.  She'll move into sight line at (11,3) and fire all three at the plant, ""Pew, Pew, Pew. (laughs like Hank Scorpio)"" ",Atk 3
Dmg,">Abi has been waiting to try out the staff so now she is going to give it a go with scorching ray.  She'll move into sight line at (11,3) and fire all three at the plant, ""Pew, Pew, Pew. (laughs like Hank Scorpio)"" ",Dmg
Perception DC 15,">Two of Abi's pews pew into the flower.Blue Corpse Flower takes 8+7 to go to -47Does the remaining Brown Zombie from the dead Corpse Flower notice Rok's ""recovered""? ",Perception DC 15
Slam,">The Zombie isn't very perceptive so misses the fact that Rok has HP it could take away. It moves around to swing at .Cade is immune to Zombie Stink after passing a save, but is starting a turn in the stink zone. ",Slam
Adv,">The Zombie isn't very perceptive so misses the fact that Rok has HP it could take away. It moves around to swing at .Cade is immune to Zombie Stink after passing a save, but is starting a turn in the stink zone. ",Adv
Damage,">The Zombie isn't very perceptive so misses the fact that Rok has HP it could take away. It moves around to swing at .Cade is immune to Zombie Stink after passing a save, but is starting a turn in the stink zone. ",Damage
Con,">The Zombie isn't very perceptive so misses the fact that Rok has HP it could take away. It moves around to swing at .Cade is immune to Zombie Stink after passing a save, but is starting a turn in the stink zone. ",Con
Atk1,">Cade will move to 5,4, hexblade curse the plant and attack twice adding eldritch smite to either a hit (or hopefully a crit). Sorry. Not sure why I rolled adv. Ignore that.  ",Atk1
Atk1 adv ,">Cade will move to 5,4, hexblade curse the plant and attack twice adding eldritch smite to either a hit (or hopefully a crit). Sorry. Not sure why I rolled adv. Ignore that.  ",Atk1 (adv)
Atk2,">Cade will move to 5,4, hexblade curse the plant and attack twice adding eldritch smite to either a hit (or hopefully a crit). Sorry. Not sure why I rolled adv. Ignore that.  ",Atk2
Atk2 adv ,">Cade will move to 5,4, hexblade curse the plant and attack twice adding eldritch smite to either a hit (or hopefully a crit). Sorry. Not sure why I rolled adv. Ignore that.  ",Atk2 (adv)
Dmg1,">Cade will move to 5,4, hexblade curse the plant and attack twice adding eldritch smite to either a hit (or hopefully a crit). Sorry. Not sure why I rolled adv. Ignore that.  ",Dmg1
Dmg2,">Cade will move to 5,4, hexblade curse the plant and attack twice adding eldritch smite to either a hit (or hopefully a crit). Sorry. Not sure why I rolled adv. Ignore that.  ",Dmg2
eldritch smite,">Cade will move to 5,4, hexblade curse the plant and attack twice adding eldritch smite to either a hit (or hopefully a crit). Sorry. Not sure why I rolled adv. Ignore that.  ",eldritch smite
Necrotic,"> will take his fancy dragon helmet for a test drive, hitting all 3 enemies. Pat it's a 30 foot cone, I want to hit all three but not murder Rok again. It looks like either from where I'm at now, or from (3,4) or (4,4) if you think I need to move and take a couple zombie opportunity attacks on the way in order to get all three in the cone.  ",Necrotic
ConDC14-BlueZombie,"> will take his fancy dragon helmet for a test drive, hitting all 3 enemies. Pat it's a 30 foot cone, I want to hit all three but not murder Rok again. It looks like either from where I'm at now, or from (3,4) or (4,4) if you think I need to move and take a couple zombie opportunity attacks on the way in order to get all three in the cone.  ",ConDC14-BlueZombie
ConDC14-BrownZombie,"> will take his fancy dragon helmet for a test drive, hitting all 3 enemies. Pat it's a 30 foot cone, I want to hit all three but not murder Rok again. It looks like either from where I'm at now, or from (3,4) or (4,4) if you think I need to move and take a couple zombie opportunity attacks on the way in order to get all three in the cone.  ",ConDC14-BrownZombie
ConDC14-BluePlant,"> will take his fancy dragon helmet for a test drive, hitting all 3 enemies. Pat it's a 30 foot cone, I want to hit all three but not murder Rok again. It looks like either from where I'm at now, or from (3,4) or (4,4) if you think I need to move and take a couple zombie opportunity attacks on the way in order to get all three in the cone.  ",ConDC14-BluePlant
Zombie Slam,>Cade takes an Attack of Opportunity on his way to get in range of the Plant. ,Zombie Slam
Damage,>Cade takes an Attack of Opportunity on his way to get in range of the Plant. ,Damage
Medicine,">Zombie misses, and Cade hits the COrpse Flower twice, smiting it with the Mistresses great power!Corpse Flower takes 40+15 damage to go to -87 Brethes his dragon helm cone of necroticness all over the two zombies and the plant. It melts the two zombies, but the plant resists the effect to some degree.Corpse Flower takes 13 to go to -100You then see one of the corpses in the flower basically melt away, as the Corpse Flower digests it completely instead of spitting out a zombie. ",Healing
Tentacle,>Some of the slash and melty marks on the Corpse Flower seem to heal up.Corspe Flower heals 12 to go to -88Then it lashes three times at Cade. ,Tentacle
Damage,>Some of the slash and melty marks on the Corpse Flower seem to heal up.Corspe Flower heals 12 to go to -88Then it lashes three times at Cade. ,Damage
Con,>Some of the slash and melty marks on the Corpse Flower seem to heal up.Corspe Flower heals 12 to go to -88Then it lashes three times at Cade. ,Con
Poison,>Some of the slash and melty marks on the Corpse Flower seem to heal up.Corspe Flower heals 12 to go to -88Then it lashes three times at Cade. ,Poison
Tentacle,>Some of the slash and melty marks on the Corpse Flower seem to heal up.Corspe Flower heals 12 to go to -88Then it lashes three times at Cade. ,Tentacle
Damage,>Some of the slash and melty marks on the Corpse Flower seem to heal up.Corspe Flower heals 12 to go to -88Then it lashes three times at Cade. ,Damage
Con,>Some of the slash and melty marks on the Corpse Flower seem to heal up.Corspe Flower heals 12 to go to -88Then it lashes three times at Cade. ,Con
Poison,>Some of the slash and melty marks on the Corpse Flower seem to heal up.Corspe Flower heals 12 to go to -88Then it lashes three times at Cade. ,Poison
Tentacle,>Some of the slash and melty marks on the Corpse Flower seem to heal up.Corspe Flower heals 12 to go to -88Then it lashes three times at Cade. ,Tentacle
Damage,>Some of the slash and melty marks on the Corpse Flower seem to heal up.Corspe Flower heals 12 to go to -88Then it lashes three times at Cade. ,Damage
Con,>Some of the slash and melty marks on the Corpse Flower seem to heal up.Corspe Flower heals 12 to go to -88Then it lashes three times at Cade. ,Con
Poison,>Some of the slash and melty marks on the Corpse Flower seem to heal up.Corspe Flower heals 12 to go to -88Then it lashes three times at Cade. ,Poison
Con save,">Gira will move to 9,2 and the spiders will join him, then he'll blight the flower for 64 damage unless it saves. ",Con save
con save dis,">Gira will move to 9,2 and the spiders will join him, then he'll blight the flower for 64 damage unless it saves. ",con save dis
Raaaaaaaaaaaaaaaaaaarg,"> can't fix it up but he can try to move it, either before or after someone repairs it (not sure if anyone has mending or woodworker skills).  ",Raaaaaaaaaaaaaaaaaaarg
Woodworking,>Gira will walk over to the cart with his woodworking tools and see if he can help. He will cast guidance on himself before he starts working.  ,Woodworking
Nature,">Gira will also want to check out the corpse flower, he's interested in anything he can learn about it since he saw it eat that corpse and regenerate. He will guidance himself again. He will also say ""Sorry about the singes , but do try to stay away from flaming spheres in the future."" He will cast betterberry himself and use the pearl of power to recharge a spell slot as well. He'll feed his shrieker too and think about how excited he will be to cast awaken on it the next time there is significant break in the action. ",Nature
Survival,>Gira will check around for seedlings with his third guidance. ,Survival
Perception,"> will check out that last chamber that isn't fully revealed yet for anything interesting, then get ready to move the cart.  ",Perception
Strength,"> will check out that last chamber that isn't fully revealed yet for anything interesting, then get ready to move the cart.  ",Strength
Cradvantage,"> will check out that last chamber that isn't fully revealed yet for anything interesting, then get ready to move the cart.  ",Cradvantage
Roll,">HD 31+21 +6con = 58"" got any of those berries?"" ",Roll
Roll,>Cade rolls HD during rest till full. Burned 2 HD.  ,Roll
Roll,>The Elf Ranger takes aim and shoots an arrow at the lead wolf as it comes into range. ,Roll
Damage if hit,>The Elf Ranger takes aim and shoots an arrow at the lead wolf as it comes into range. ,Damage if hit
Roll,>The Elf Ranger takes aim and shoots an arrow at the lead wolf as it comes into range. ,Roll
Volley &amp; Damage if hit,">Finian again takes aim and lets loose another arrow at another wolfLaughing underneath his breath the Elf Ranger said.  ""You know what Harold would of said if he was here. 'Skul, my good fellow, I think you might find wolves easier to skin after you kill them.  Instead of trying to do it before hand, as you have suggested!'   Doing a fairly decent job of imitating  the slightly high pitched voice of the now deceased halfling magic user.  Finian knew that Harold, wherever he was, would find what he had just done to be quite amusing.  He never expected to miss the little guy so much.                                                                                                                                                                                         Momentarily glancing over at , he wondered what was taking the rat-man so long to bring his crossbow into play? ",Volley &amp; Damage if hit
Roll,">Finian again takes aim and lets loose another arrow at another wolfLaughing underneath his breath the Elf Ranger said.  ""You know what Harold would of said if he was here. 'Skul, my good fellow, I think you might find wolves easier to skin after you kill them.  Instead of trying to do it before hand, as you have suggested!'   Doing a fairly decent job of imitating  the slightly high pitched voice of the now deceased halfling magic user.  Finian knew that Harold, wherever he was, would find what he had just done to be quite amusing.  He never expected to miss the little guy so much.                                                                                                                                                                                         Momentarily glancing over at , he wondered what was taking the rat-man so long to bring his crossbow into play? ",Roll
Hit,"> was crouched down behind everyone, holding the box close to his chest. It was a known fact that the Rat was not only not a fighter, he was very much a coward. He could stab a man in the back no problem, shoot an unexpected someone from a distance without thought. But when in battle, in danger, he was useless. Looking up to see the elf looking down on him, Nig decided that he had to join in. Shakingly placing the box down, he would draw his crossbow, take aim and fire. ",Hit
dmg,"> was crouched down behind everyone, holding the box close to his chest. It was a known fact that the Rat was not only not a fighter, he was very much a coward. He could stab a man in the back no problem, shoot an unexpected someone from a distance without thought. But when in battle, in danger, he was useless. Looking up to see the elf looking down on him, Nig decided that he had to join in. Shakingly placing the box down, he would draw his crossbow, take aim and fire. ",dmg
Roll,>Skul would see the howling mutts jaws coming closer towards .   wouldn’t be able to reach the little rat and Skul could tell. He jumped in front of and braced himself for the rage and pain to flood his senses.  ,Roll
Discern Realities,"> hesitates for a moment as she sees the wolf latch on to Skul, but suppresses her instinct to instantly leap to his aid — Skul was as fine a warrior as she'd seen, he could take take of himself. ""We can't fight them, and we can't stay here forever Sooner or later we'll have to find a way out.""So, instead of lending her sword to the fight she looks around. Was there away to deter the wolves or a way out. ",Discern Realities
Attack,>Skul roars at the wolf whose teeth nearly ripped into his flesh. The rat man brings the point of his sword towards the beasts exposed stomach.  ,Attack
Damage,>Skul roars at the wolf whose teeth nearly ripped into his flesh. The rat man brings the point of his sword towards the beasts exposed stomach.  ,Damage
Discern Realities 1 for Wisdom and Midnight's Cunning of 2,">""Wait, there must be another way, we just need a few moments to think of something.  I was hoping that taking out their leader at the start would somehow dishearten the rest of them.  Wait a minute, fire, wolves definitely don't like fire.""  Finian will look at the area they are in to see how dry things are and to see if they can use fire to drive away the wolves without burning themselves up as well.  Factoring in current wind direction and speed, etc.. ",Discern Realities +1 for Wisdom and Midnight's Cunning of +2
Volley &amp; Damage if hit,">Finian having seen his plan come to fruition.   Momentarily watched with some satisfaction, the burnt wolves that were still alive, running away.  He glad to see that the fire hadn't spread beyond the vicinity surrounding the rock outcropping.  He then said. ""There is no time to waste, we should be going.   , don't forget to bring that damn lock-box with you.  Then again, perhaps Skul who is stronger should carry it. Then you can have your crossbow ready to fire right away, the next time you need to use it!  But do whatever you wish.  We  just need to get moving!""  With that, the Elf Ranger and Midnight found the place along the base of the rock that didn't have a burnt wolf's body blocking the way and climbed down there.  Once reaching the ground, they started running westward in the same direction that they had been running in before seeking their stoney refuge.  Hoping to soon reach the place on the east bank of the upper Shanion River, near the western edge of the Eastern Forest.  Where they had hidden the two canoes that they had paddled in and pulled by rope, up river from Riversjoin. ",Volley &amp; Damage if hit
Roll,">Finian having seen his plan come to fruition.   Momentarily watched with some satisfaction, the burnt wolves that were still alive, running away.  He glad to see that the fire hadn't spread beyond the vicinity surrounding the rock outcropping.  He then said. ""There is no time to waste, we should be going.   , don't forget to bring that damn lock-box with you.  Then again, perhaps Skul who is stronger should carry it. Then you can have your crossbow ready to fire right away, the next time you need to use it!  But do whatever you wish.  We  just need to get moving!""  With that, the Elf Ranger and Midnight found the place along the base of the rock that didn't have a burnt wolf's body blocking the way and climbed down there.  Once reaching the ground, they started running westward in the same direction that they had been running in before seeking their stoney refuge.  Hoping to soon reach the place on the east bank of the upper Shanion River, near the western edge of the Eastern Forest.  Where they had hidden the two canoes that they had paddled in and pulled by rope, up river from Riversjoin. ",Roll
Scout,>Finian and Midnight are out in front of the party scouting for anything that might be of danger. ,Scout
Roll,>open chest check ,Roll
Roll,>Skul continues to march forward alongside the others. Skul rushes forward to the head of the group in order to blaze the trail. ,Roll
Quartermaster,> does her best to try and manage the supplies as they travel ,Quartermaster
Crossbow,>Firing the Crossbow at long range. (OOC: 10 or better on a D20) ,Crossbow
Crossbow,">The bolt misses the target and thuds into the hay bail.None too happy with her result, she loads another and fires!(OOC: 10 or better on a D20) ",Crossbow
Crossbow,>The bolt just misses the target again and thuds into the hay bail.She takes a side wager of a silver piece and loads another bolt and fires!(OOC: 10 or better on a D20) ,Crossbow
Crossbow,">""Ha! That's how you do it lads!"" she says as she is about to collect her silver from the two militia men.  ""Wait...double or nothing?"" says the taller militia man, with a smirk.""Alright, two silvers each in the pot,"" she says as she places her second silver on the bench, followed by two more.  She sees the six coins shining in the grey light of day and thinks of the cold beer about to be drunk.She loads another quarrel.  Aims. Fires! ",Crossbow
Crossbow,">""Argh!"" she cries as the bolt flies past the target and thunks into the hay bail again.  She watches the two split the six coins.The militia men shake her hand in good sport.  ""A little more practice lass and ye'll have it.  Let's get some beer and bread in our bellies before we all run out of coin!"" he says good natured.She loads another bolt into the crossbow and fires.  This time it's as if she is reacting to an unseen enemy, her face stone cold. ",Crossbow
-Damage,>-Damage taken from Volley damage of 8 ,-Damage
Roll,>Wolf bite ,Roll
Roll,>Finian's Special Move roll ,Roll
Roll,>Discern Reality ,Roll
Trap export,>Hope this is right ,Trap export
Roll,>had to edit cause I put 10d+2 and not d10+2 ,Roll
Roll,">Two questions, I do still have that question, can I use it now? Also, that's a d10, correct? Edit: nope, 2d6 ",Roll
Roll,>I'm testing out the dice equation being talked about in the general discussion now - not part of this game ,Roll
Perception @53,>Qanhaz scours the sands for signs.  ,Perception @53
perception@47,>The framed sea-green orbs seek something ,perception@47
Roll,>perception ,Roll
Jars,">Qanhaz regards in silence with a furrowed brow then turns his attention back to the bones that were laid out.He opens his mouth to speak again but stops himself and, with a sigh, begins tidying away his augury.  ",Jars
doses,">Amarla takes this time out to quickly gather her belongings from the in she'd been staying out including several doses of poison.OOC: UD It's been so long, I've forgotten what the poison actually is...and don't have it written on my sheet, can you recall? And if so, how long would a coating on her throwing daggers and crossbow bolts remain effective? ",doses
Perception@53,>Qanhaz snoops about... ,Perception@53
Roll,>Perception is not 's strong suit... ,Roll
perception@47,> looks about ,perception@47
Perception,>Aman is lookin' around! ,Perception
Willpower @45 Hard ,>Qanhaz cringes... but then the Look of Eagles enters his eyes! ,Willpower @45 (Hard)
Willpower Hard ,>Aman falls into a Catatonic stupor as his senses are assailed! ,Willpower (Hard)
Tenacity loss,>The toll on Qanhaz... ,Tenacity loss
Tenacity loss,>What strange things has he seen? ,Tenacity loss
Roll,">Tenacity Roll = 18, Tenacity loss = 2 ",Roll
Willpower@79 Hard@53 ,>Her sea-green eyes shine! ,Willpower@79 (Hard@53)
Tenacity,>She shrieks! ,Tenacity
Condition,>She shrieks! ,Condition
Perception,">Robyn nods at Filraen's suggestion before realizing no one except Filraen can see it. He shakes his and says, in a quiet tone ""Aye, let's get a move on. If no one objects, I'll take point and keep an eye out for traps or monsters. So long as I am soft of foot, I'll be as invisible to them as I am to most of you."" He restrings his bow, nocks an arrow and takes a minute to listen intently the sounds around him as his party finishes their discussion. Then he begins moving east, staying about 30ft ahead of the party. ",Perception
Stealth,">Robyn nods at Filraen's suggestion before realizing no one except Filraen can see it. He shakes his and says, in a quiet tone ""Aye, let's get a move on. If no one objects, I'll take point and keep an eye out for traps or monsters. So long as I am soft of foot, I'll be as invisible to them as I am to most of you."" He restrings his bow, nocks an arrow and takes a minute to listen intently the sounds around him as his party finishes their discussion. Then he begins moving east, staying about 30ft ahead of the party. ",Stealth
Stealth,">Glad to see the response from Ellison, hoping she could overcome the woes that befell her. He set off down the chamber, gauging it. ""I'll inspect that next chamber first. See if anything is there. Wait for me here, friends."" ",Stealth
Body  Heart  relationship to the Dogs,">As she approaches, studies the stretch of woodland thoughtfully. She sees workers straining at axes and saws or dragging trees away, and somehow she feels out of place. Surely she belongs straining in the fields rather than standing here watching, set apart as a Dog. But that's not what the Steward back home seem to believe, or her teachers. But that still doesn't feel right, and something in her mistrusts it. Feeling nervous and guarded, she surveys the scene, looking for some sort of clue as to who might be.  ",Body + Heart + relationship to the Dogs
Roll,">An older man, face like a craggy mountain peak, and covered in sawdust and wood chips approaches her after what seems like an hour of waiting.“Huh. You must be the girl Mike said he’d send me”A appraising eye runs over her lean frame and he nods to himself.“Grab whatever tools you need and start uprooting those stumps”He points at the stack of tools, mostly pick axes, adzes, axes and a few saws.He waits for her response, not quite impatient. 1, 4, 5, 5, 5, 6, 6, 9Raises with a 5 & 5 ",Roll
Roll,">An older man, face like a craggy mountain peak, and covered in sawdust and wood chips approaches her after what seems like an hour of waiting.“Huh. You must be the girl Mike said he’d send me”A appraising eye runs over her lean frame and he nods to himself.“Grab whatever tools you need and start uprooting those stumps”He points at the stack of tools, mostly pick axes, adzes, axes and a few saws.He waits for her response, not quite impatient. 1, 4, 5, 5, 5, 6, 6, 9Raises with a 5 & 5 ",Roll
Bramnir Explore,>Bramnir will leave the reading of tracks to s Hunting and wilderness skills. His earlier life with Beorn  gives him a lot of experience of different animal tracks. Instead he will take his share of reading the land and if there are places where the geography might conceal a mine entrance.  ,Bramnir Explore
Survival,>Bramnir will leave the reading of tracks to s Hunting and wilderness skills. His earlier life with Beorn  gives him a lot of experience of different animal tracks. Instead he will take his share of reading the land and if there are places where the geography might conceal a mine entrance.  ,hunting
Roll,>hunting - find evidence of heavy loads on wagons moving into and out of the compound.  the surroundings show no active evidence of mining activity ,Roll
Roll,>guards have not spotted the party yet. (that you know of) ,Roll
Stealth,">Soon after departing from the two trackers, Amdir allows his horse to fall behind the wagon being driven by . He follows for a while longer as they move up a gentle gradient: at the top, Zaken turns around and uses his hat to mop his brow. It is the signal that the manor house is in sight. Amdir stops, dismounts and hobbles his horse by the wayside, in the middle of a few gorse thickets. The horse itself is not visible from the road, and can only be heard from a short distance away. It has little harness as it has been ridden by an elf, and is very cooperative. With a few words to soothe it, the animal will feed quietly without straying far at all for the rest of the day. It will probably come up the slope if it hears the elf calling.Amdir pulls his grey Elven cloak around him, and trudges up to the top of the small rise. Zaken has already driven on, and Amdir can see the wagon is more than two-thirds of the way to the manor house. Someone is walking out to meet it - it is the wormtongue servant, or somebody very like him. Yes, he would recognise Zaken and from the previous night. Amdir will still approach a viewing spot carefully. And with roll with comfortably approach the manor, settle in on a slight elevation with a thicket of juniper and heather which will make it ideal to remain concealed, yet give a look down across the courtyard and over the verandahs and walkways.  ",Stealth
Coutersy,"> arrives at the gateway. There is a substantive gate across the arched entrance, which opens, and the wormtongue fop comes out to  meet them. ( fop: "" .. e rr hum, delighted to see you again. Only two of you? ) steps down. He has chosen to leave his mattock behind, but wears a short sword.  (Skill = 1 only).Zaken has also arrived with only his sword. But there is a great bow in the wagon.Fr or would like to start this meeting well and is on his best manners. He will greet the fop, ""Yes, we are enough to stand for the consortium. Zaken for the Mostar company and I for my family. We have pressed ahead to deliver these carvings - I think that your Lord will be pleased with these small tokens to commemorate what we hope will be the beginning of a great fiscal venture."" ",Coutersy
Roll,">affecting a chill, "" Well, man, I cannot wait to be inside, away from this damnable breeze.  I am eager to commence discussions. Where shall we go?"" Despite the words, the actions are subtle enough. And Zaken will use his perception of the lackeys body language to see if there is any unpleasantness planned."" ",Roll
Insight,">affecting a chill, "" Well, man, I cannot wait to be inside, away from this damnable breeze.  I am eager to commence discussions. Where shall we go?"" Despite the words, the actions are subtle enough. And Zaken will use his perception of the lackeys body language to see if there is any unpleasantness planned."" ",insight
Missing death toll for courtesy,">will roll the Missing courtesy feat dice even though an extraordinary success has already been scored and a major success at reading the lackey. After roll: both rolls now total T N = 23 Zaken's manner from the previous evening must have  so intimidated the lackey, that he is all bowing and scraping. A right creep. He walks backwards to fawn over Zaken as he is led indoors. The manor doors open, and the two walk in following the sycophantic, pathetic servant. OOC;I have no idea why it says missing death roll for courtesy, it should say missing dice roll) ",Missing death toll for courtesy
Persuasion,"> takes along pull of wine. (Zaken refills the dwarves goblet, appearing to admire the craftwork as he pours).The dwarf continues, ""  cousin Brorr is not concerned about the words of the backbiters and the ditherers. Bold action gets big rewards and secures the world in the shape we need it to be. I agree with my kinsman. I have made contacts with the people of Beorn you may have seen a giant of a man at the exhibition: he has been a help to us to design new axes for forest work. As a result, we are a major supplier of new axes to their communities. Have you considered the cloth now used in some of the warehouses in Dale? We carry the raw cloth from their lands into Dale. It is a premium product from premium materials. And there, my Lord, is the key to achieving the greatest wealth: the best products.In fact one of our manufacturers was attacked by some criminals last month; and that is where my path first crossed that of my friend here. A meeting that has left us both materially improved in wealth. By pure chance, a shop was set on fire by these criminals, and Zaken was caught up with searching for the villains. I was looking for my Beorning friend and met him just as an evil orc attacked. Yes, it was that famous incident: I was there as well, and I too was involved in the orcs demise. Quite a nice little reward for my bit of daring. But a happier outcome is the business alliance you see before you. Zaken is a leading member of one of the key transport guilds from Laketown. We are looking to connect together a trade route from the western seas to the eastern lands beyond Dorwinion. "" ",Persuade
Riddle,>will also roll riddle to find out  if he can see his success so far ,Riddle
Persuasion,">Zaken will take his cue now. ""Well my noble Lord, let me continue now that my dwarven colleague has mentioned me. I was visiting Dale when I came across our mutual Beorning friend and another of his associates in the hub of Dale: the Missing Scale. Actually, I was looking for a trade opportunity - my constant source of pleasure in this world I may say - and I had been put on the trail of this elf from Mirkwood by a trading associate from Dorwinion. She had become aware of the elf's interest in the same clothing woman that alluded to: in fact he had rescued her from that fire. Somehow he was incensed to find the perpetrators. I … got involved. Frankly, I was looking for a commission into the Elven Kingdom; he seemed a possible start. So far I have made no loss, but alas, no great progress either. If I remember rightly, that elf is searching out some sort of mining plan for the Elven King. But he is too tight lipped. I am beginning to despair of him being any use in developing trade. I may be forced back to my Dorwinion wine merchants and see if I can get in that way.So you see, we have mining interests: and even if the Elf Kingdom is not looking promising, we have already said how it might be a great success to concentrate on the further development of Dale. Do you have a source of building materials? I find getting stone supplies from Erebor to be a bit of a closed shop. None of the dwarves there seem ready to share access to the mountains resources. Do you have any dwarven suppliers that I might acquire a share in? ..... ... but before you answer that, I have to insist that the great enterprise planned by Brorr and my company can only succeed with high value goods and products. If we have building materials - they must be the best. If we deal in foodstuffs, then only the exquisite and the exotic will pay. Manufactured items must be high quality to cover the transport costs and attract buyers from far away - if your contacts cannot provide the highest quality, the best grown, the best crafted, the most beautifully presented wares: then we will not make a profit on the costs of carriage. So, our questions back to you are:  1. Do you have the goods that match your so obvious good taste? (Zaken raises the beautiful goblet to illustrate and flatter the   at the same time)     and            2. What extra ideas or points are you referring to, what are your goals we might be sharing? ""Zaken is using his powerful personality to match the high manner of the Lord. he is showing that he expects to be referred to as an equal in the business, even if he is not of the aristocracy. He is courteous in his manner, but direct in his language. Throughout his speech he will be checking how well his words are being received (Riddle) and weighing the returning comments of Gunvar (insight) for concealed thoughts.  ",Courtesy
Riddle,">Zaken will take his cue now. ""Well my noble Lord, let me continue now that my dwarven colleague has mentioned me. I was visiting Dale when I came across our mutual Beorning friend and another of his associates in the hub of Dale: the Missing Scale. Actually, I was looking for a trade opportunity - my constant source of pleasure in this world I may say - and I had been put on the trail of this elf from Mirkwood by a trading associate from Dorwinion. She had become aware of the elf's interest in the same clothing woman that alluded to: in fact he had rescued her from that fire. Somehow he was incensed to find the perpetrators. I … got involved. Frankly, I was looking for a commission into the Elven Kingdom; he seemed a possible start. So far I have made no loss, but alas, no great progress either. If I remember rightly, that elf is searching out some sort of mining plan for the Elven King. But he is too tight lipped. I am beginning to despair of him being any use in developing trade. I may be forced back to my Dorwinion wine merchants and see if I can get in that way.So you see, we have mining interests: and even if the Elf Kingdom is not looking promising, we have already said how it might be a great success to concentrate on the further development of Dale. Do you have a source of building materials? I find getting stone supplies from Erebor to be a bit of a closed shop. None of the dwarves there seem ready to share access to the mountains resources. Do you have any dwarven suppliers that I might acquire a share in? ..... ... but before you answer that, I have to insist that the great enterprise planned by Brorr and my company can only succeed with high value goods and products. If we have building materials - they must be the best. If we deal in foodstuffs, then only the exquisite and the exotic will pay. Manufactured items must be high quality to cover the transport costs and attract buyers from far away - if your contacts cannot provide the highest quality, the best grown, the best crafted, the most beautifully presented wares: then we will not make a profit on the costs of carriage. So, our questions back to you are:  1. Do you have the goods that match your so obvious good taste? (Zaken raises the beautiful goblet to illustrate and flatter the   at the same time)     and            2. What extra ideas or points are you referring to, what are your goals we might be sharing? ""Zaken is using his powerful personality to match the high manner of the Lord. he is showing that he expects to be referred to as an equal in the business, even if he is not of the aristocracy. He is courteous in his manner, but direct in his language. Throughout his speech he will be checking how well his words are being received (Riddle) and weighing the returning comments of Gunvar (insight) for concealed thoughts.  ",Riddle
